radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
200,2024-09-24T00:30:00Z,525,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,575,-0.43449013046475016,-0.5463201701730453,,0.6980310894288169,218.49533921648919,,FALSE,,8.574421243832516,,,18,3,,,8.452448402000357,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,625,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,675,,,,,,,FALSE,,0,,,,2,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,725,,,,,,,FALSE,,0,,,,4,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,775,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T00:30:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,25,-3.262106239388309,1.1023153654695756,,3.443317627231978,288.6708939395417,,FALSE,,175.53465801081705,,,6,4,,,3.966499755026332,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,75,-2.4594583473971037,0.20490233973368066,,2.4679789973599107,274.7624265566048,,FALSE,,87.82083371640832,,,27,3,,,10.444041476753386,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,125,-3.2166006358291592,0.10174701686586594,,3.2182094564924846,271.8117671824963,,FALSE,,50.74990409352747,,,46,3,,,52.78318272017584,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,37.575305718659266,,,48,3,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,225,-3.9239499230125174,-0.7502288176247442,,3.9950251910475565,259.1761165191059,,FALSE,,21.435940290863638,,,55,2,,,14.47404110348862,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,275,-3.3211491843452117,-0.7072506061196873,,3.3956200206344542,257.97823763434394,,FALSE,,15.252082925565812,,,50,3,,,10.604931284990576,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,11.307018725165175,,,36,2,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,375,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,425,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,475,1.5325042761465506,-1.126612116162635,,1.902057889942342,126.32126203686276,,FALSE,,4.833251165457724,,,19,1,,,24.732010862657685,,,47.127641,8.192569,510,3.19,
